window_center_h,accuracy_mean,accuracy_std,f1_mean,f1_std,auc_mean,auc_std,precision_mean,precision_std,recall_mean,recall_std
3.0,0.95,0.009090909090909075,0.94168038259943,0.011204109201338373,0.9937239583333334,0.0025679777157543784,1.0,0.0,0.8899999999999999,0.01999999999999998
6.0,0.965625,0.009660019266141351,0.9643543902448073,0.010395001365017977,0.9972222222222223,0.0012345019664346867,0.9978494623655914,0.0043010752688172,0.9333333333333333,0.021449229460389605
9.0,0.99375,0.0038975597778895025,0.9937060838353104,0.003944556561629389,1.0,0.0,0.9979381443298969,0.004123711340206171,0.9895833333333333,0.009316949906249141
12.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
15.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
18.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
21.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
24.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
27.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
30.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
33.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
36.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
39.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
42.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
45.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
