window_center_h,accuracy_mean,accuracy_std,f1_mean,f1_std,auc_mean,auc_std,precision_mean,precision_std,recall_mean,recall_std
3.0,0.9443181818181818,0.004251883394061287,0.9350347996350614,0.005668709628024261,0.9907812500000001,0.0025640133573224203,0.9946666666666667,0.010666666666666647,0.8825,0.01695582495781315
6.0,0.9645833333333333,0.005103103630798297,0.9633660430291435,0.005666026835219222,0.9963541666666668,0.0014074149624210856,0.9957894736842106,0.00842105263157893,0.9333333333333333,0.018162078931419474
9.0,0.99375,0.003897559777889502,0.9936952328465141,0.003941554578577268,1.0,0.0,1.0,0.0,0.9875,0.007795119555779064
12.0,0.9989583333333332,0.002083333333333348,0.9989528795811518,0.0020942408376963153,1.0,0.0,1.0,0.0,0.9979166666666668,0.004166666666666652
15.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
18.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
21.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
24.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
27.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
30.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
33.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
36.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
39.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
42.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
45.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
